🕘️更新时间,#genre#
2026-05-17 19:18:13,https://iptv.catvod.com/live.php?id=CCTV1&line=15

📺央视频道,#genre#
CCTV-1,https://iptv.catvod.com/live.php?id=CCTV1&line=15
CCTV-1,https://iptv.catvod.com/live.php?id=CCTV1&line=6
CCTV-1,https://iptv.catvod.com/live.php?id=CCTV1&line=11
CCTV-1,https://iptv.catvod.com/live.php?id=CCTV1&line=21
CCTV-1,https://iptv.catvod.com/live.php?id=CCTV1&line=16
CCTV-1,https://iptv.catvod.com/live.php?id=CCTV1&line=7
CCTV-1,https://iptv.catvod.com/live.php?id=CCTV1&line=10
CCTV-1,https://iptv.catvod.com/live.php?id=CCTV1&line=19
CCTV-1,http://60.4.28.155:8077/rtp/239.253.92.83:8012
CCTV-1,http://106.116.126.134:4022/rtp/239.254.200.45:8008
CCTV-2,https://iptv.catvod.com/live.php?id=CCTV2&line=10
CCTV-2,https://iptv.catvod.com/live.php?id=CCTV2&line=7
CCTV-2,https://iptv.catvod.com/live.php?id=CCTV2&line=8
CCTV-2,https://iptv.catvod.com/live.php?id=CCTV2&line=6
CCTV-2,https://iptv.catvod.com/live.php?id=CCTV2&line=9
CCTV-2,http://60.4.28.155:8077/rtp/239.253.92.190:6065
CCTV-2,http://144.255.31.141:6688/udp/239.21.1.151:5002
CCTV-2,http://121.29.215.217:2083/rtp/239.253.92.190:6065
CCTV-2,http://114.226.212.170:8787/rtp/239.49.8.50:9802
CCTV-2,http://115.171.216.26:4000/rtp/225.1.8.2:8084
CCTV-3,http://39.77.95.74:4002/rtp/239.253.254.191:8000
CCTV-3,http://171.8.168.12:8800/rtp/239.16.20.3:10030
CCTV-3,http://144.255.31.141:6688/udp/239.21.2.45:5002
CCTV-3,http://115.171.216.26:4000/rtp/225.1.8.88:8000
CCTV-3,http://121.29.215.217:2083/rtp/239.253.92.191:6057
CCTV-3,http://124.112.240.102:4022/rtp/238.1.78.170:7232
CCTV-3,http://124.114.102.184:6789/rtp/239.112.205.221:5140
CCTV-3,http://115.171.216.46:4000/rtp/225.1.8.88:8000
CCTV-3,http://111.196.132.71:20000/rtp/239.3.1.172:8001
CCTV-3,http://106.59.3.2:55555/udp/239.200.200.18:9008
CCTV-4,https://iptv.catvod.com/live.php?id=CCTV4&line=8
CCTV-4,https://iptv.catvod.com/live.php?id=CCTV4&line=5
CCTV-4,https://iptv.catvod.com/live.php?id=CCTV4%E7%BE%8E%E6%B4%B2&line=2
CCTV-4,https://iptv.catvod.com/live.php?id=CCTV4&line=6
CCTV-4,https://iptv.catvod.com/live.php?id=CCTV4&line=9
CCTV-4,https://iptv.catvod.com/live.php?id=CCTV4&line=7
CCTV-4,http://221.220.132.128:8012/rtp/239.3.1.105:8092
CCTV-4,http://171.8.168.12:8800/rtp/239.16.20.4:10040
CCTV-4,http://144.255.31.141:6688/udp/239.21.2.29:5002
CCTV-4,http://124.114.102.184:6789/rtp/239.112.205.202:5140
CCTV-5,https://iptv.catvod.com/live.php?id=CCTV5&line=8
CCTV-5,https://iptv.catvod.com/live.php?id=CCTV5&line=7
