🕘️更新时间,#genre#
2026-05-15 07:25:27,https://iptv.catvod.com/live.php?id=CCTV1&line=6

📺央视频道,#genre#
CCTV-1,https://iptv.catvod.com/live.php?id=CCTV1&line=6
CCTV-1,https://iptv.catvod.com/live.php?id=CCTV1&line=7
CCTV-1,https://iptv.catvod.com/live.php?id=CCTV1&line=19
CCTV-1,https://iptv.catvod.com/live.php?id=CCTV1&line=15
CCTV-1,https://iptv.catvod.com/live.php?id=CCTV1&line=11
CCTV-1,https://iptv.catvod.com/live.php?id=CCTV1&line=21
CCTV-1,https://iptv.catvod.com/live.php?id=CCTV1&line=10
CCTV-1,https://iptv.catvod.com/live.php?id=CCTV1&line=16
CCTV-1,http://39.77.252.138:4002/rtp/239.253.254.77:8000
CCTV-1,http://49.77.104.95:8554/rtp/239.49.8.19:9614
CCTV-2,https://iptv.catvod.com/live.php?id=CCTV2&line=9
CCTV-2,https://iptv.catvod.com/live.php?id=CCTV2&line=6
CCTV-2,https://iptv.catvod.com/live.php?id=CCTV2&line=10
CCTV-2,https://iptv.catvod.com/live.php?id=CCTV2&line=8
CCTV-2,https://iptv.catvod.com/live.php?id=CCTV2&line=7
CCTV-2,http://221.220.132.128:8012/rtp/239.3.1.60:8084
CCTV-2,http://114.254.84.173:8888/rtp/239.3.1.60:8084
CCTV-2,http://39.77.95.74:4002/rtp/239.253.254.232:8000
CCTV-2,http://39.77.252.138:4002/rtp/239.253.254.232:8000
CCTV-2,http://60.4.28.155:8077/rtp/239.253.92.190:6065
CCTV-3,http://39.77.252.138:4002/rtp/239.253.254.191:8000
CCTV-3,http://39.77.95.74:4002/rtp/239.253.254.191:8000
CCTV-3,http://60.4.28.155:8077/rtp/239.253.92.191:6057
CCTV-3,http://124.112.240.102:4022/rtp/238.1.78.170:7232
CCTV-3,http://171.8.168.12:8800/rtp/239.16.20.3:10030
CCTV-3,http://121.29.215.217:2083/rtp/239.253.92.191:6057
CCTV-3,http://144.255.31.141:6688/udp/239.21.2.45:5002
CCTV-3,http://221.220.132.128:8012/rtp/239.3.1.172:8001
CCTV-3,http://114.254.84.173:8888/rtp/239.3.1.172:8001
CCTV-3,http://220.176.218.130:9000/udp/239.252.219.252:5140
CCTV-4,https://iptv.catvod.com/live.php?id=CCTV4&line=6
CCTV-4,https://iptv.catvod.com/live.php?id=CCTV4%E7%BE%8E%E6%B4%B2&line=2
CCTV-4,https://iptv.catvod.com/live.php?id=CCTV4&line=8
CCTV-4,https://iptv.catvod.com/live.php?id=CCTV4&line=9
CCTV-4,https://iptv.catvod.com/live.php?id=CCTV4&line=5
CCTV-4,https://iptv.catvod.com/live.php?id=CCTV4&line=7
CCTV-4,http://221.220.132.128:8012/rtp/239.3.1.105:8092
CCTV-4,http://39.77.252.138:4002/rtp/239.253.254.111:8000
CCTV-4,http://60.4.28.155:8077/rtp/239.253.92.251:6141
CCTV-4,http://121.29.215.217:2083/rtp/239.253.92.251:6141
CCTV-5,https://iptv.catvod.com/live.php?id=CCTV5&line=9
CCTV-5,https://iptv.catvod.com/live.php?id=CCTV5&line=14
CCTV-5,https://iptv.catvod.com/live.php?id=CCTV5&line=13
CCTV-5,https://iptv.catvod.com/live.php?id=CCTV5&line=8
CCTV-5,https://iptv.catvod.com/live.php?id=CCTV5&line=6
CCTV-5,https://iptv.catvod.com/live.php?id=CCTV5&line=7
CCTV-5,https://iptv.catvod.com/live.php?id=CCTV5&line=15
CCTV-5,https://iptv.catvod.com/live.php?id=CCTV5&line=12
CCTV-5,http://39.77.252.138:4002/rtp/239.253.254.192:8000
CCTV-5,http://144.255.31.141:6688/udp/239.21.2.46:5002
CCTV-5+,http://221.220.132.128:8012/rtp/239.3.1.130:8004
